date,cumulative_cases,cumulative_deaths,dph_report_generation_time,dashbord_md5sum
2020-02-01,4,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-02,7,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-03,9,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-04,9,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-05,9,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-06,10,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-07,11,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-08,12,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-09,12,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-10,14,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-11,14,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-12,14,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-13,15,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-14,15,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-15,17,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-16,17,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-17,19,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-18,22,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-19,25,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-20,29,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-21,31,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-22,35,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-23,43,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-24,50,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-25,58,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-26,68,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-27,79,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-28,92,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-02-29,105,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-01,179,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-02,220,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-03,262,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-04,312,0,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-05,356,1,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-06,417,1,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-07,479,1,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-08,554,1,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-09,678,1,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-10,830,1,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-11,986,1,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-12,1167,2,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-13,1428,2,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-14,1642,4,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-15,1914,8,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-16,2320,10,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-17,2713,12,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-18,3147,21,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-19,3562,26,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-20,4039,31,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-21,4346,49,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-22,4683,58,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-23,5260,68,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-24,5770,83,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-25,6327,102,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-26,6828,116,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-27,7345,129,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-28,7771,150,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-29,8136,178,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-30,8832,204,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-03-31,9360,230,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-01,10094,258,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-02,10717,294,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-03,11412,337,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-04,11884,378,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-05,12302,408,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-06,13202,449,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-07,13897,478,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-08,14663,512,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-09,15480,545,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-10,16364,582,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-11,16897,611,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-12,17299,641,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-13,18165,671,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-14,19027,715,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-15,19790,746,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-16,20593,799,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-17,21463,834,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-18,21949,865,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-19,22489,903,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-20,23409,941,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-21,24302,975,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-22,25158,1018,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-23,25860,1051,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-24,26672,1090,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-25,27118,1122,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-26,27448,1155,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-27,28362,1195,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-28,29299,1233,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-29,30045,1271,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-04-30,30718,1301,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-01,31450,1333,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-02,31779,1361,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-03,32028,1388,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-04,32843,1415,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-05,33360,1438,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-06,33958,1458,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-07,34472,1474,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-08,34980,1502,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-09,35246,1522,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-10,35462,1542,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-11,36071,1558,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-12,36570,1578,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-13,37097,1594,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-14,37540,1610,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-15,37879,1616,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-16,37962,1618,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-17,37984,1620,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
2020-05-18,37996,1620,2020-05-18T16:28:28Z,df9dcfe443a8968ccf3dea406604651c
